itemid,title,publisher
2342296,배트맨 허쉬 1,semicolon
2342322,배트맨 허쉬 2,semicolon
2355517,배트맨 Harvest Breed,semicolon
2409657,배트맨 : 다크 나이트 리턴즈 1,semicolon
2409681,배트맨 : 다크 나이트 리턴즈 2,semicolon
3006528,배트맨 이어 원,semicolon
5825042,배트맨 : 다크 나이트 스트라이크 어게인,semicolon
8117576,배트맨 킬링 조크 BATMAN The Killing Joke : 디럭스 에디션 The Deluxe Edition (양장),semicolon
13610349,배트맨 롱 할로윈 1,semicolon
13610364,배트맨 롱 할로윈 2,semicolon
15824125,배트맨 : 아캄 어사일럼,semicolon
16393122,조커,semicolon
16889056,배트맨 : 패밀리의 죽음,semicolon
16898738,배트맨 : 웃는 남자,semicolon
17516600,배트맨 : 다크 빅토리 1,semicolon
17516720,배트맨 : 다크 빅토리 2,semicolon
17671152,배트맨 : 캣우먼,semicolon
18042306,배트맨 나이트폴 1 : 다크 나이트 라이즈 원작,semicolon
18042476,배트맨 나이트폴 2 : 다크 나이트 라이즈 원작,semicolon
18042525,배트맨 나이트폴 3 : 다크 나이트 라이즈 원작,semicolon
18388743,배트맨 : 망토 두른 십자군에게 무슨 일이 생겼나?,semicolon
18747031,배트맨 : 헌티드 나이트,semicolon
47061693,배트맨 : 가스등 아래의 고담,semicolon
47062687,(뉴 52) 배트맨 1 : 올빼미 법정,semicolon
47063648,(뉴 52) 배트맨 2 : 올빼미 도시,semicolon
51395872,배트맨 앤솔로지,semicolon
55247494,배트맨 : 블랙 미러 1,semicolon
55247692,배트맨 : 블랙 미러 2,semicolon
67194589,(뉴 52) 배트맨 3 : 가족의 죽음,semicolon
69102411,(뉴 52) 배트맨 4 : 제로 이어 - 비밀의 도시,semicolon
75100849,(뉴 52) 배트맨 5 : 제로 이어 - 어둠의 도시,semicolon
79656455,(뉴 52) 배트맨 6 : 야간 순찰,semicolon
2199272,왓치맨 Watchmen 1,sigongsa
2199274,왓치맨 Watchmen 2,sigongsa
2287717,저스티스 JUSTICE 1,sigongsa
2287740,저스티스 JUSTICE 2,sigongsa
2287742,저스티스 JUSTICE 3,sigongsa
2620403,킹덤 컴 Kingdom Come,sigongsa
2923967,로닌 Ronin,sigongsa
3029755,브이 포 벤데타,sigongsa
3199698,샌드맨 The SandMan 1,sigongsa
3199708,샌드맨 The SandMan 2,sigongsa
3354877,샌드맨 The SandMan 3,sigongsa
3354884,샌드맨 The SandMan 4,sigongsa
3519802,샌드맨 The SandMan 5,sigongsa
3519813,샌드맨 The SandMan 6,sigongsa
6886387,아이언 맨 : 익스트리미스,sigongsa
3659620,슈퍼맨 포 투모로우 Supreman for Tomorrow 1,sigongsa
3659642,슈퍼맨 포 투모로우 Supreman for Tomorrow 2,sigongsa
4170964,샌드맨 The SandMan 7,sigongsa
4171000,샌드맨 The SandMan 8,sigongsa
4387344,샌드맨 The SandMan 9,sigongsa
4483797,시크릿 워,sigongsa
4483976,샌드맨 The SandMan 10,sigongsa
4666888,하우스 오브 엠,sigongsa
4927582,헐크 : 플래닛 헐크,sigongsa
5832251,시빌 워,sigongsa
6084410,샤잠 : 희망의 힘,sigongsa
6084417,슈퍼맨 : 땅 위에 평화를,sigongsa
6084425,원더우먼 : 진실의 영혼,sigongsa
6084430,배트맨 : 범죄와의 전쟁,sigongsa
6329518,JLA : 탄생의 비밀,sigongsa
6467490,JLA : 자유와 정의,sigongsa
6674473,슈퍼맨 : 버스라이트,sigongsa
6869293,슈퍼맨 : 레드 선,sigongsa
6886390,시빌 워 : 아이언 맨,sigongsa
7088289,샌드맨 The SandMan : 영원의 밤,sigongsa
7180090,슈퍼맨 : 포 올 시즌,sigongsa
7277089,샌드맨 The SandMan : 꿈 사냥꾼,sigongsa
7472520,헐크 : 월드 워 헐크,sigongsa
7510029,엑스맨 : 메시아 콤플렉스,sigongsa
7916195,프롬 헬,sigongsa
8727299,그린 랜턴 Green Lantern : 시크릿 오리진 Secret Origin,sigongsa
8727337,시빌 워 : 어메이징 스파이더맨,sigongsa
11223389,그린 랜턴 Green Lantern : 시네스트로 군단의 역습 1,sigongsa
11223437,그린 랜턴 Green Lantern : 시네스트로 군단의 역습 2,sigongsa
11047794,그린 랜턴 Green Lantern : 리버스 Rebirth,sigongsa
11590259,캡틴 아메리카의 죽음 1,sigongsa
11590305,캡틴 아메리카의 죽음 2,sigongsa
11894690,캡틴 아메리카의 죽음 3,sigongsa
12014312,스파이더맨 : 백 인 블랙,sigongsa
