itemid,title
4892675,저스티스 JUSTICE 1~3 (묶음)
3220924,왓치맨 Watchmen 세트 - 전2권
2199272,왓치맨 Watchmen 1
2199274,왓치맨 Watchmen 2
2287717,저스티스 JUSTICE 1
39712191,[세트] 저스티스 1~2 + 얼티미츠 2 세트 - 전3권
2287740,저스티스 JUSTICE 2
2287742,저스티스 JUSTICE 3
2620403,킹덤 컴 Kingdom Come
2923967,로닌 Ronin
3199698,샌드맨 The SandMan 1
3199708,샌드맨 The SandMan 2
3354877,샌드맨 The SandMan 3
3354884,샌드맨 The SandMan 4
3519802,샌드맨 The SandMan 5
3519813,샌드맨 The SandMan 6
6886387,아이언 맨 : 익스트리미스
3659620,슈퍼맨 포 투모로우 Supreman for Tomorrow 1
3659642,슈퍼맨 포 투모로우 Supreman for Tomorrow 2
4170964,샌드맨 The SandMan 7
4171000,샌드맨 The SandMan 8
4387344,샌드맨 The SandMan 9
4483797,시크릿 워
4483976,샌드맨 The SandMan 10
4666888,하우스 오브 엠
41121151,[세트] 엑스맨 원작세트 A 세트 - 전3권
4927582,헐크 : 플래닛 헐크
5832251,시빌 워
27782642,[세트] 시빌 워 4종 - 전4권
82224455,[세트] 시빌 워 대표 원작 세트 - 전3권
6084410,샤잠 : 희망의 힘
6084417,슈퍼맨 : 땅 위에 평화를
6084425,원더우먼 : 진실의 영혼
6084430,배트맨 : 범죄와의 전쟁
6329518,JLA : 탄생의 비밀
6467490,JLA : 자유와 정의
6674473,슈퍼맨 : 버스라이트
6869293,슈퍼맨 : 레드 선
6886390,시빌 워 : 아이언 맨
39711967,[세트] 시빌 워 세트 - 전4권
82224655,[세트] 시빌 워 아이언맨 세트 (찬성파) - 전3권
7088289,샌드맨 The SandMan : 영원의 밤
7102955,월드 그레이티스트 슈퍼 히어로즈 세트 - 전6권
7180090,슈퍼맨 : 포 올 시즌
7277089,샌드맨 The SandMan : 꿈 사냥꾼
7277124,<샌드맨> 전권 박스 한정판 - 전12권
7472520,헐크 : 월드 워 헐크
7510029,엑스맨 : 메시아 콤플렉스
41121273,[세트] 엑스맨 원작세트 B 세트 - 전3권
7916195,프롬 헬
8727299,그린 랜턴 Green Lantern : 시크릿 오리진 Secret Origin
8727337,시빌 워 : 어메이징 스파이더맨
39712046,[세트] 어메이징 스파이더맨 세트 B - 전3권
82225363,[세트] 시빌 워 중립 진영 세트 - 전4권
11223389,그린 랜턴 Green Lantern : 시네스트로 군단의 역습 1
11223437,그린 랜턴 Green Lantern : 시네스트로 군단의 역습 2
11047794,그린 랜턴 Green Lantern : 리버스 Rebirth
11590259,캡틴 아메리카의 죽음 1
11590305,캡틴 아메리카의 죽음 2
39043770,[세트] 캡틴 아메리카 정주행 세트 B - 전3권
82225881,[세트] 시빌 워 에필로그 세트 - 전3권
11894690,캡틴 아메리카의 죽음 3
12014312,스파이더맨 : 백 인 블랙
12116673,슈퍼맨 : 시크릿 아이덴티티
12854141,올스타 슈퍼맨 All-Star Superman 1
12859800,Y : 와이 더 라스트 맨 디럭스 에디션 01
13214717,올스타 슈퍼맨 All-Star Superman 2
13587816,베놈 vs. 카니지
14178622,Y : 와이 더 라스트 맨 디럭스 에디션 02
14839209,토르 : 천둥의 시대
14839723,Y : 와이 더 라스트 맨 디럭스 에디션 03
15191606,시빌 워 : 캡틴 아메리카
15192893,얼티미츠 Vol.1 : 슈퍼휴먼
39712259,[세트] 어벤저스 얼티밋 스토리 세트 - 전2권
15978584,아이덴티티 크라이시스
16203912,엑스맨 : 다크 피닉스 사가
16203794,Y : 와이 더 라스트 맨 디럭스 에디션 04
16525265,어벤져스 오리진 세트 - 전4권
16525375,어벤져스 크로스오버 세트 - 전4권
17109582,피터 파커 스파이더맨 : 백 인 블랙
17465073,Y : 와이 더 라스트 맨 디럭스 에디션 05
17569570,시빌 워 세트 - 전4권
17569733,스파이더맨 세트 - 전3권
17861445,WE3 : 디럭스 에디션
18006815,DC : 더 뉴 프런티어
18006826,프라이드 오브 바그다드
18456736,페이블즈 디럭스 에디션 1
18763308,DC : 더 뉴 프런티어 2
19131508,크라이시스 온 인피닛 어스
19903005,제로 아워 : 크라이시스 인 타임
20635068,얼티미츠 Vol.2 : 국토안보
20949249,페이블즈 디럭스 에디션 2
22813934,어벤저스 디스어셈블드
39043029,[세트] 어벤저스 오리지널 스토리 세트 - 전3권
22429714,슈퍼맨/배트맨 : 공공의 적
