itemid,title
2342296,배트맨 허쉬 1
2342322,배트맨 허쉬 2
2355517,배트맨 Harvest Breed
2409657,배트맨 : 다크 나이트 리턴즈 1
2409681,배트맨 : 다크 나이트 리턴즈 2
3006528,배트맨 이어 원
5825042,배트맨 : 다크 나이트 스트라이크 어게인
8117576,배트맨 킬링 조크 BATMAN The Killing Joke : 디럭스 에디션 The Deluxe Edition (양장)
13610349,배트맨 롱 할로윈 1
13610364,배트맨 롱 할로윈 2
15824125,배트맨 : 아캄 어사일럼
16393122,조커
16889056,배트맨 : 패밀리의 죽음
16898738,배트맨 : 웃는 남자
17516600,배트맨 : 다크 빅토리 1
17516720,배트맨 : 다크 빅토리 2
17671152,배트맨 : 캣우먼
18042306,배트맨 나이트폴 1 : 다크 나이트 라이즈 원작
18042476,배트맨 나이트폴 2 : 다크 나이트 라이즈 원작
18042525,배트맨 나이트폴 3 : 다크 나이트 라이즈 원작
18388743,배트맨 : 망토 두른 십자군에게 무슨 일이 생겼나?
18747031,배트맨 : 헌티드 나이트
47061693,배트맨 : 가스등 아래의 고담
47062687,(뉴 52) 배트맨 1 : 올빼미 법정
47063648,(뉴 52) 배트맨 2 : 올빼미 도시
51395872,배트맨 앤솔로지
55247494,배트맨 : 블랙 미러 1
55247692,배트맨 : 블랙 미러 2
67194589,(뉴 52) 배트맨 3 : 가족의 죽음
69102411,(뉴 52) 배트맨 4 : 제로 이어 - 비밀의 도시
75100849,(뉴 52) 배트맨 5 : 제로 이어 - 어둠의 도시
79656455,(뉴 52) 배트맨 6 : 야간 순찰
